consumer_id,2023-01-01 00:00:00,2023-01-01 01:00:00,2023-01-01 02:00:00,2023-01-01 03:00:00,2023-01-01 04:00:00,2023-01-01 05:00:00,2023-01-01 06:00:00,2023-01-01 07:00:00,2023-01-01 08:00:00,2023-01-01 09:00:00,2023-01-01 10:00:00,2023-01-01 11:00:00,2023-01-01 12:00:00,2023-01-01 13:00:00,2023-01-01 14:00:00,2023-01-01 15:00:00,2023-01-01 16:00:00,2023-01-01 17:00:00,2023-01-01 18:00:00,2023-01-01 19:00:00,2023-01-01 20:00:00,2023-01-01 21:00:00,2023-01-01 22:00:00,2023-01-01 23:00:00,2023-01-02 00:00:00,2023-01-02 01:00:00,2023-01-02 02:00:00,2023-01-02 03:00:00,2023-01-02 04:00:00,2023-01-02 05:00:00,2023-01-02 06:00:00,2023-01-02 07:00:00,2023-01-02 08:00:00,2023-01-02 09:00:00,2023-01-02 10:00:00,2023-01-02 11:00:00,2023-01-02 12:00:00,2023-01-02 13:00:00,2023-01-02 14:00:00,2023-01-02 15:00:00,2023-01-02 16:00:00,2023-01-02 17:00:00,2023-01-02 18:00:00,2023-01-02 19:00:00,2023-01-02 20:00:00,2023-01-02 21:00:00,2023-01-02 22:00:00,2023-01-02 23:00:00
MTR_C_06,230.65,232.21,233.08,234.21,234.66,235.57,234.73,234.9,233.94,233.38,232.77,231.67,231.21,230.1,229.07,227.65,227.23,227.2,227.03,227.41,228.06,228.91,229.61,230.19,231.23,232.53,234.15,233.82,235.04,234.86,234.6,235.28,233.73,233.05,232.57,231.19,230.56,229.26,227.85,227.14,226.21,226.85,227.65,227.11,228.1,228.99,229.76,231.31
MTR_D_01,228.73,230.11,231.69,232.39,233.08,234.56,233.5,233.01,232.7,231.58,231.3,229.95,229.69,228.02,227.37,226.8,225.56,225.31,224.72,225.36,226.01,226.51,227.42,228.43,230.25,231.13,231.83,232.57,232.63,233.24,233.49,232.48,232.45,231.38,229.84,229.95,228.73,227.47,226.06,224.96,225.76,225.4,225.33,225.55,226.03,227.17,228.88,228.88
MTR_D_02,230.41,231.79,233.33,233.42,234.11,234.62,233.94,234.38,233.94,233.51,232.75,231.37,230.24,229.29,228.56,227.34,226.92,227.29,226.52,226.36,226.82,228.68,229.61,229.89,231.01,232.08,232.58,234.1,234.55,235.02,234.52,234.23,233.01,232.75,231.36,230.97,230.05,228.21,227.94,227.17,227.37,226.4,227.04,227.1,227.22,228.51,229.72,230.32
MTR_D_03,229.64,230.82,232.44,233.32,232.94,233.9,234.02,233.76,234.22,232.96,231.46,230.37,229.27,228.11,228.0,227.29,225.57,225.92,226.04,226.16,226.71,227.35,228.82,229.25,230.36,231.16,232.39,232.19,233.45,233.95,233.51,233.03,233.19,232.36,230.89,230.35,228.98,228.56,227.08,225.71,226.22,226.0,225.86,225.82,227.25,227.48,229.28,229.54
MTR_D_04,230.41,232.27,232.82,234.2,234.25,235.71,235.1,235.2,234.21,233.38,233.16,231.74,231.74,230.11,228.85,227.91,227.81,226.88,227.41,227.56,227.95,229.06,229.9,231.23,231.26,233.09,233.67,234.22,234.62,235.31,235.0,234.82,234.47,232.81,232.79,231.63,230.97,229.43,228.62,227.96,227.77,227.37,226.93,227.39,227.91,229.51,229.95,230.84
MTR_D_05,232.04,233.68,234.05,235.2,235.65,236.44,236.31,236.03,235.72,235.41,233.76,232.92,231.61,231.3,230.09,229.25,228.92,228.2,228.73,228.42,229.29,229.77,230.53,231.71,232.61,233.89,234.98,236.06,236.68,236.2,236.49,235.52,235.44,233.93,233.33,232.34,231.55,230.46,229.97,228.61,229.02,227.6,228.77,228.72,228.97,230.51,231.08,231.98
MTR_D_06,230.63,232.95,233.12,234.57,234.08,234.85,235.15,235.32,234.87,233.67,233.18,232.04,231.24,229.87,229.02,228.07,227.4,227.02,226.87,226.71,228.21,228.24,229.92,230.42,231.49,232.62,234.02,234.18,235.55,235.64,234.87,234.78,234.33,233.23,232.46,231.77,230.42,229.52,228.53,227.03,228.09,227.18,227.12,227.47,227.51,229.21,229.87,230.63
MTR_E_01,231.19,233.24,234.08,234.33,236.23,235.83,236.11,235.82,235.56,234.49,233.72,232.15,231.25,230.14,229.41,229.24,227.63,228.02,227.63,228.25,228.39,230.2,229.87,231.12,232.1,233.26,234.32,235.31,235.27,235.74,236.07,235.74,235.35,233.55,232.75,231.92,231.23,230.19,229.06,228.85,227.97,227.9,227.81,227.94,228.86,230.29,229.78,232.14
MTR_E_02,230.64,230.99,231.92,232.78,233.14,234.33,232.88,233.22,233.06,233.09,231.71,230.34,229.57,228.23,226.64,227.04,226.43,226.56,226.05,226.59,226.54,227.55,229.15,229.44,230.33,231.74,232.61,232.88,233.12,233.68,234.29,233.76,232.47,231.83,231.54,230.12,228.72,228.12,227.95,225.87,226.35,225.88,225.8,225.64,226.13,228.14,229.1,229.81
MTR_E_03,232.09,233.03,234.57,234.95,235.8,236.08,235.71,236.21,236.29,234.81,233.55,233.46,231.54,231.26,230.49,229.27,228.98,228.35,228.79,228.54,229.21,230.07,230.71,232.4,232.59,233.52,234.45,235.77,235.53,236.9,236.62,235.87,234.83,234.66,233.43,232.85,231.49,230.89,229.62,228.75,228.12,227.94,228.12,228.86,229.69,229.8,231.02,232.38
MTR_E_04,228.81,230.49,230.52,231.13,232.88,232.74,233.17,232.15,232.69,232.36,230.88,228.97,228.26,227.8,226.23,226.25,225.41,225.24,224.76,225.84,225.63,226.28,227.73,228.12,230.08,230.9,231.86,232.22,232.2,233.6,233.17,232.66,231.9,230.78,230.7,229.35,227.93,227.74,226.77,225.45,225.61,224.79,224.98,225.37,225.45,227.49,228.6,229.76
MTR_E_05,229.41,230.17,231.04,231.91,232.82,233.18,233.07,233.04,232.76,232.34,230.21,229.81,229.04,228.05,226.15,225.53,225.81,225.06,226.0,225.56,225.66,226.64,228.37,228.89,229.93,230.59,231.3,232.31,232.52,233.24,233.44,232.81,232.15,231.44,230.79,229.26,227.55,228.2,226.43,225.61,225.57,224.59,224.55,225.96,225.85,227.27,228.21,229.2
MTR_E_06,231.73,232.15,233.71,234.07,234.45,235.64,235.62,234.89,234.91,234.1,233.1,232.83,231.24,230.32,229.2,227.99,228.38,227.5,227.5,227.96,228.17,229.16,229.94,230.48,231.63,233.23,233.58,235.28,235.39,235.61,235.0,234.52,234.42,233.65,232.88,232.04,230.26,229.2,228.84,228.17,227.63,226.68,227.49,228.53,228.76,229.18,230.48,231.17
MTR_F_01,232.25,232.76,233.35,235.05,234.83,235.85,235.77,235.58,234.9,234.27,234.15,232.55,231.87,230.66,229.08,229.31,227.97,228.41,227.38,228.47,228.94,229.49,230.05,230.97,232.6,233.47,234.76,235.45,236.17,236.15,235.87,235.53,234.7,234.29,233.52,231.66,231.63,230.58,228.74,228.66,228.21,227.83,228.21,228.66,229.09,229.68,230.14,231.74
MTR_F_02,229.33,230.19,231.57,231.63,233.15,233.22,232.6,233.71,233.12,232.61,230.6,229.7,229.3,228.34,226.79,226.26,225.42,225.15,225.22,225.99,225.68,227.16,228.15,228.72,229.5,230.44,231.71,232.26,233.12,233.59,233.55,232.8,232.37,231.92,231.42,229.87,228.89,227.41,227.23,226.39,226.09,225.53,225.05,226.01,226.85,227.81,228.51,229.54
MTR_F_03,230.15,231.43,232.03,232.95,233.34,233.61,233.76,233.77,233.2,233.43,231.38,230.79,229.86,228.85,227.57,226.84,225.94,226.6,226.36,226.41,226.82,227.71,228.8,229.72,230.9,231.51,232.3,233.46,233.79,233.97,234.41,233.79,233.15,232.06,232.19,230.82,229.16,227.68,227.19,227.12,226.8,226.12,226.11,226.6,228.14,228.19,228.65,229.71
MTR_F_04,230.21,232.66,232.65,233.56,234.0,234.8,234.55,233.91,234.35,233.61,232.11,231.35,230.27,229.45,228.63,227.53,227.1,226.37,226.82,226.64,227.23,228.14,229.04,230.21,231.45,232.47,233.01,234.2,234.82,234.68,234.69,234.03,234.03,233.32,232.39,231.22,230.26,228.66,227.57,227.81,226.55,226.31,227.41,227.26,228.2,228.38,229.33,230.19
MTR_F_05,232.59,233.48,234.78,235.77,236.14,235.83,236.39,236.11,236.0,235.43,235.16,233.42,233.09,231.17,230.04,230.25,229.01,228.64,228.91,229.35,229.61,230.52,230.91,232.18,233.2,234.54,235.0,235.9,237.52,236.65,236.76,236.61,235.73,235.05,233.24,232.37,232.34,230.47,229.94,229.48,229.22,228.98,229.26,230.1,230.15,230.59,231.36,232.62
MTR_F_06,232.87,233.36,234.21,235.57,235.92,236.39,236.97,236.36,235.89,235.34,234.78,233.43,232.56,230.71,230.24,229.72,229.18,228.53,228.2,229.03,229.74,230.53,231.67,232.64,233.03,234.15,235.4,236.07,236.42,236.78,236.56,236.12,235.66,234.98,233.87,232.36,232.19,231.12,229.92,229.44,228.95,228.78,228.72,229.88,229.48,229.96,230.99,232.8
MTR_G_01,231.61,233.32,233.49,234.3,235.93,235.62,235.33,235.31,235.71,235.21,232.91,232.32,232.08,230.5,229.49,228.7,227.98,227.51,228.35,227.58,228.56,229.55,229.98,230.76,232.71,233.37,234.03,235.58,235.87,235.81,235.14,235.39,235.0,234.38,233.27,231.59,230.54,230.3,228.89,228.23,227.5,227.78,227.74,228.46,229.1,229.46,231.06,231.2
MTR_G_02,230.12,232.52,232.73,233.88,234.31,234.82,234.99,234.19,234.16,233.67,233.31,231.83,230.09,229.37,228.31,227.84,227.73,227.0,227.13,226.88,227.57,228.08,228.86,230.11,231.28,231.83,233.65,233.93,234.63,234.56,234.81,234.38,233.35,233.62,232.39,230.86,230.13,229.22,227.86,227.61,226.74,226.73,226.77,227.27,227.78,229.05,230.02,230.83
MTR_G_03,231.47,232.33,233.81,234.06,234.58,235.24,235.71,235.64,235.31,234.65,232.63,232.87,231.58,230.12,229.52,228.24,227.75,227.71,227.25,227.36,227.89,228.78,229.35,230.49,232.51,233.03,233.73,234.66,236.34,235.86,235.69,234.78,234.86,233.79,232.77,232.49,231.1,229.76,228.81,227.81,228.09,227.21,228.16,228.25,228.53,229.63,230.46,231.34
MTR_G_04,231.23,233.37,233.99,234.02,236.08,235.01,235.73,235.04,235.05,235.13,234.01,232.49,231.76,230.16,229.73,228.98,229.02,227.78,227.98,228.1,228.63,229.49,230.67,231.27,231.84,232.37,234.0,235.14,235.26,235.53,235.24,235.63,234.54,234.35,232.9,232.15,231.27,230.69,228.75,227.75,227.9,227.24,228.51,227.94,229.18,229.71,230.75,232.16
MTR_G_05,230.68,232.37,232.79,233.92,234.88,234.81,234.91,234.7,234.17,234.06,232.95,231.42,230.19,229.66,228.9,228.41,227.04,226.98,227.0,227.62,227.56,228.09,229.66,230.0,231.06,232.03,233.82,234.41,234.62,234.73,234.57,234.68,234.08,233.55,232.33,231.13,229.77,229.14,227.52,228.1,227.38,226.61,226.75,227.16,228.62,228.15,229.82,230.64
MTR_G_06,230.39,230.58,231.62,232.47,233.83,233.97,234.14,234.55,233.06,232.32,231.77,230.83,229.92,228.96,228.23,227.22,226.66,226.37,226.09,226.54,227.14,227.59,228.03,229.18,230.99,231.41,232.84,233.57,233.61,233.81,234.48,233.67,233.51,232.26,231.3,230.66,229.59,228.22,227.89,226.81,226.28,226.3,225.74,227.17,227.31,227.54,229.36,229.98
MTR_H_01,230.96,232.32,233.2,234.49,234.84,235.75,235.88,235.38,234.31,233.61,233.27,231.72,231.35,230.47,229.49,228.34,227.43,226.9,226.73,227.96,228.56,228.54,229.44,230.62,231.99,233.42,233.67,234.52,235.49,235.66,234.71,234.61,234.18,233.5,233.01,231.21,230.71,229.56,228.85,227.81,227.66,226.82,227.54,227.53,228.69,228.79,230.31,231.42
MTR_H_02,230.08,230.6,232.25,232.64,233.21,233.84,234.46,234.18,232.83,232.48,232.34,231.44,229.82,228.46,228.22,227.38,226.48,225.81,226.55,226.68,226.62,228.1,228.34,229.75,230.85,231.06,232.89,233.44,233.32,234.14,234.37,234.17,232.83,231.66,232.18,229.87,229.41,228.21,226.97,226.12,226.56,226.51,226.52,226.69,228.14,228.29,229.45,230.1
MTR_H_03,231.83,231.65,232.66,234.68,235.4,235.05,235.0,234.73,234.28,233.96,232.77,231.69,230.4,230.26,228.95,227.99,227.34,226.9,227.06,226.75,228.06,228.66,229.62,230.53,232.09,232.85,233.12,233.99,235.2,235.15,235.18,234.41,234.25,233.01,232.25,231.48,230.29,229.5,228.57,227.71,227.67,226.78,227.9,227.33,227.69,229.13,230.22,232.11
MTR_H_04,230.96,231.67,232.72,234.07,235.04,234.31,234.52,235.01,234.73,233.09,233.05,231.56,230.54,228.9,227.95,227.87,227.17,226.8,226.73,227.22,227.92,228.17,229.51,230.26,230.81,232.49,233.41,234.01,234.59,235.13,234.8,234.47,233.43,233.43,232.23,231.01,230.02,228.7,228.47,227.8,226.8,226.64,227.49,226.6,227.74,228.13,229.47,231.17
MTR_H_05,233.44,233.7,234.4,235.58,236.45,236.73,237.08,235.8,236.44,234.77,234.36,232.93,232.12,231.26,230.42,229.49,228.39,228.57,228.86,228.88,229.92,229.69,230.53,231.93,232.75,234.22,234.54,235.69,236.05,236.81,235.81,235.86,235.94,234.77,233.45,232.35,231.63,229.88,230.0,229.27,228.51,228.92,228.89,229.46,228.89,230.98,231.51,231.58
MTR_H_06,231.19,231.35,232.85,234.12,235.35,235.17,234.49,234.95,234.01,232.96,232.86,231.65,230.92,230.35,228.72,228.28,226.74,226.99,226.54,228.06,228.35,229.24,229.74,230.71,231.39,232.7,233.27,233.45,235.06,235.22,234.47,234.41,234.13,232.96,232.28,230.78,230.25,229.06,228.06,226.81,227.25,226.84,227.73,227.21,227.42,228.96,229.72,231.08
MTR_I_01,228.94,230.37,231.07,232.13,233.3,233.95,233.38,233.54,232.51,231.71,230.75,230.48,228.88,227.59,227.11,226.63,225.65,225.16,225.06,226.29,225.74,227.11,228.29,228.48,229.79,231.38,231.45,232.37,233.1,233.71,233.3,232.83,232.53,231.1,230.7,229.26,228.68,227.7,226.34,225.92,225.76,224.7,225.65,226.31,226.38,227.25,228.93,228.92
MTR_I_02,229.2,230.38,230.7,231.84,232.57,233.42,233.12,232.45,232.14,231.45,230.95,229.49,228.97,228.02,227.52,226.95,225.19,224.41,224.95,226.21,225.64,226.98,227.74,228.97,229.48,231.04,231.87,232.87,232.55,233.2,232.76,232.93,232.71,230.98,230.69,229.43,228.32,227.66,226.23,226.44,224.97,224.88,225.2,225.72,225.88,227.01,227.92,229.2
MTR_I_03,232.38,233.19,234.78,235.22,235.63,236.7,236.14,236.55,236.63,234.7,233.6,233.38,231.76,230.63,231.07,229.42,229.59,228.2,228.47,228.92,229.58,230.15,230.6,231.79,233.1,234.41,234.59,235.01,236.12,236.62,236.5,236.56,235.57,235.27,234.55,232.82,231.99,230.51,229.59,229.73,228.48,228.81,229.07,229.05,229.3,230.38,231.87,232.31
MTR_I_04,229.33,231.12,232.06,232.6,233.27,234.18,233.49,234.06,233.92,233.0,231.49,231.3,229.97,228.45,227.63,227.66,226.24,225.45,225.88,226.59,226.3,228.08,228.93,229.54,230.83,231.54,232.15,233.55,233.58,233.27,233.8,233.51,233.15,231.76,231.86,229.44,229.23,228.81,227.03,226.88,226.04,225.79,226.36,226.17,227.17,227.63,228.77,230.08
MTR_I_05,229.74,232.06,232.46,232.75,233.31,234.51,234.01,233.91,233.39,233.12,232.53,231.02,229.89,228.78,227.84,227.42,226.84,225.39,226.26,227.02,226.89,228.3,229.02,229.46,230.69,232.51,232.95,234.28,233.77,233.82,234.18,233.74,233.49,232.6,231.78,230.52,229.87,228.96,226.48,227.0,226.39,226.31,225.99,227.26,226.96,227.86,229.39,230.14
MTR_I_06,230.85,232.19,233.44,234.84,235.17,235.35,235.21,234.95,234.95,234.0,232.15,231.89,230.59,229.62,229.25,228.5,227.85,227.45,226.92,228.33,227.69,228.82,229.78,230.62,231.99,232.73,233.45,234.25,235.47,235.24,235.46,234.57,234.33,233.81,232.79,230.67,230.59,229.27,228.74,227.64,227.09,227.1,226.83,228.01,227.83,228.58,230.42,231.1
MTR_J_01,231.44,233.61,234.24,235.47,236.79,235.74,236.72,236.44,235.2,235.18,233.63,232.68,231.72,231.16,230.14,229.12,228.96,227.9,228.4,228.11,229.19,229.47,230.22,231.68,232.8,234.08,235.12,235.34,235.46,236.52,236.1,235.59,235.45,234.73,233.54,232.64,231.27,230.27,229.65,228.43,228.76,228.12,227.75,228.56,229.7,230.44,230.7,232.42
MTR_J_02,232.18,233.53,234.23,234.92,235.3,235.67,234.8,235.51,234.83,234.44,233.9,232.66,231.36,230.12,229.47,228.5,227.68,227.18,228.21,228.24,228.77,229.93,230.19,231.91,232.68,232.86,234.25,235.43,235.11,235.46,235.48,235.65,234.97,233.67,233.35,231.64,230.41,229.88,228.89,228.64,227.51,226.88,227.88,228.62,228.63,228.74,230.81,232.25
MTR_J_03,232.16,234.0,234.7,235.35,236.71,236.54,236.62,236.65,236.14,235.25,234.79,233.49,233.44,231.18,230.81,229.9,228.74,228.64,228.54,228.36,229.91,230.24,231.13,231.88,233.04,234.28,235.57,235.46,236.41,236.16,236.66,236.77,236.35,235.28,233.91,232.63,231.99,230.43,230.09,228.87,228.61,228.2,228.64,228.73,230.04,230.64,231.99,232.87
MTR_J_04,232.25,233.04,234.01,234.41,235.74,236.08,236.01,236.43,235.24,234.68,233.62,233.06,231.81,231.03,230.17,228.63,228.61,228.47,227.85,228.02,229.47,229.18,230.41,230.98,232.6,233.84,234.77,235.39,235.43,235.85,236.43,235.87,235.18,234.36,233.16,232.95,231.05,229.57,229.23,227.87,227.84,227.8,228.51,228.26,229.42,230.69,231.19,232.42
MTR_J_05,232.93,234.0,234.25,235.6,236.85,237.01,236.94,237.01,235.25,235.56,234.56,233.49,232.94,231.42,230.42,230.16,228.86,228.6,228.77,228.25,229.54,230.39,230.9,232.3,232.74,233.65,235.45,235.75,236.5,237.29,236.2,236.65,236.28,234.77,233.95,232.66,232.6,229.96,230.33,228.79,228.44,229.13,228.82,229.38,230.29,231.05,231.94,233.23
MTR_J_06,228.71,230.35,231.51,232.76,233.41,233.55,233.34,233.2,232.71,232.09,231.33,229.82,229.18,228.81,226.88,226.17,226.79,226.22,224.85,226.12,227.14,227.64,228.18,229.37,230.63,231.26,232.18,232.95,233.73,234.16,233.43,232.95,232.18,231.62,231.6,230.04,228.44,227.27,226.62,226.32,225.88,225.04,225.33,226.31,227.34,227.64,229.06,229.74
MTR_K_01,232.48,233.0,234.95,235.53,235.94,236.26,236.77,236.15,236.26,234.84,234.02,233.21,232.51,231.35,230.47,229.72,228.63,228.27,228.51,228.75,229.1,229.45,231.6,232.02,233.04,234.69,234.99,235.59,236.3,237.33,236.21,236.34,235.99,235.12,234.32,232.72,231.88,230.31,230.15,229.02,228.82,228.95,228.55,228.62,229.85,230.62,231.93,232.74
MTR_K_02,231.79,232.37,234.02,234.97,234.81,235.7,235.16,235.95,234.8,234.51,233.24,232.53,231.22,230.42,229.48,228.2,228.34,227.73,227.99,227.91,228.3,229.51,229.44,230.68,232.67,232.8,233.94,235.37,235.03,235.89,235.35,234.1,234.34,234.32,232.97,232.72,230.64,230.11,229.09,228.27,227.87,227.47,228.28,227.82,229.03,229.44,230.41,232.07
MTR_K_03,231.11,232.37,233.23,234.23,234.67,234.11,234.85,234.8,233.66,233.85,233.52,232.35,230.33,230.27,229.42,227.25,227.45,227.21,227.39,227.56,228.26,228.44,228.86,230.26,232.23,232.85,234.59,233.78,235.17,235.47,234.65,234.59,233.87,233.74,232.48,232.15,230.19,229.84,228.64,228.67,227.33,227.02,227.11,227.97,228.12,229.37,229.7,231.2
